symbol,category,original_rank,trigger_zscore,optimal_days,best_rebound_ratio,yesterday_date,yesterday_return,z_yesterday,distance
IUSG,Large Growth,146,-2.0,3,1.0076,2026-07-15,1.0023,0.24,2.245
ZDM.TO,單一國家或區域股票(已開發市場避險),147,-3.5,3,1.0075,2026-07-15,0.9969,-0.65,2.847
MGV,Large Value,148,-2.5,3,1.0075,2026-07-15,0.9942,-0.88,1.624
IUSV,Large Value,149,-2.5,3,1.0074,2026-07-15,0.9993,-0.09,2.41
XCG.TO,加拿大廣泛股票指數(成長型),150,-3.5,1,1.0074,2026-07-15,0.9919,-1.3,2.204
VIG,Large Blend,151,-2.5,3,1.0074,2026-07-15,0.9984,-0.26,2.24
VOOV,Large Value,152,-3.5,2,1.0073,2026-07-15,1.0001,0.02,3.522
EES,Small Value,153,-2.5,2,1.0073,2026-07-15,1.0001,0.01,2.509
XIG.TO,債券(美國投資等級公司債避險),154,-3.5,3,1.0071,2026-07-15,1.0016,0.51,4.015
OEF,Large Blend,155,-2.5,3,1.007,2026-07-15,1.0055,0.66,3.16
XCS.TO,加拿大廣泛股票指數(TSX小型股),156,-1.5,2,1.007,2026-07-15,0.9941,-0.66,0.837
VO,Mid-Cap Blend,157,-2.5,3,1.0068,2026-07-15,0.9922,-0.91,1.588
ZRR.TO,債券(實質報酬債券),158,-3.5,1,1.0067,2026-07-15,1.0,0.03,3.533
VTI,Large Blend,159,-1.5,3,1.0066,2026-07-15,1.0003,0.04,1.544
XRB.TO,債券(加拿大實質報酬債券),160,-3.0,2,1.0065,2026-07-15,1.0017,0.3,3.301
VTV,Large Value,161,-2.5,3,1.0064,2026-07-15,0.9943,-0.85,1.65
DTD,Large Value,162,-2.5,3,1.0063,2026-07-15,1.0005,0.09,2.592
SCHX,Large Blend,163,-3.5,1,1.0062,2026-07-15,1.0003,0.02,3.521
SPYV,Large Value,164,-2.5,3,1.0059,2026-07-15,0.9995,-0.07,2.43
EQWL,Large Value,165,-3.5,2,1.0058,2026-07-15,0.999,-0.11,3.392
FNK,Small Value,166,-1.5,3,1.0056,2026-07-15,1.0042,0.46,1.961
SCHB,Large Blend,167,-2.5,3,1.0056,2026-07-15,0.9997,-0.05,2.455
ITOT,Large Blend,168,-2.0,3,1.0056,2026-07-15,1.0007,0.09,2.093
XCB.TO,債券(加拿大投資等級公司債),169,-3.0,3,1.0055,2026-07-15,1.001,0.33,3.326
XSP.TO,美股廣泛指數(S&P500避險),170,-3.5,2,1.0055,2026-07-15,1.0012,0.15,3.65
SPLV,Large Value,171,-2.0,3,1.0055,2026-07-15,0.9954,-0.73,1.265
RIT.TO,不動產REIT(加拿大),172,-3.0,3,1.0055,2026-07-15,1.0011,0.16,3.159
POWA,Large Blend,173,-2.5,3,1.0054,2026-07-15,0.9918,-1.28,1.216
VONV,Large Value,174,-2.0,3,1.0053,2026-07-15,1.0021,0.31,2.311
CGAA.TO,全球或多元資產配置(全球資產配置私募池),175,-3.5,1,1.0051,2026-07-15,1.0,0.02,3.519
CSM,Large Blend,176,-3.5,3,1.0051,2026-07-15,1.0008,0.08,3.582
VYM,Large Value,177,-2.0,3,1.0049,2026-07-15,0.9979,-0.31,1.691
ZWB.TO,加拿大金融股(銀行備兌買權),178,-2.0,3,1.0049,2026-07-15,1.0107,1.66,3.656
CDZ.TO,加拿大廣泛股票指數(股息貴族),179,-1.5,3,1.0045,2026-07-15,1.007,1.27,2.766
ZEB.TO,加拿大金融股(銀行等權重),180,-2.5,3,1.0045,2026-07-15,1.013,1.93,4.43
EQL,Large Value,181,-2.5,3,1.004,2026-07-15,0.9979,-0.26,2.237
XDV.TO,加拿大廣泛股票指數(精選股息),182,-2.0,2,1.0038,2026-07-15,1.0104,1.85,3.85
XRE.TO,不動產REIT(加拿大市值加權),183,-1.5,3,1.0031,2026-07-15,0.9983,-0.26,1.24
CGR.TO,不動產REIT(全球),184,-2.5,2,1.0029,2026-07-15,0.9961,-0.54,1.956
HAB.TO,債券(主動管理公司債),185,-3.0,2,1.0024,2026-07-15,1.0,-0.08,2.923
ZAG.TO,債券(加拿大綜合債券),186,-2.5,2,1.0021,2026-07-15,1.0015,0.55,3.05
ZRE.TO,不動產REIT(加拿大等權重),187,-2.0,3,1.002,2026-07-15,0.9992,-0.15,1.855
XQB.TO,債券(高評級加拿大債券),188,-2.5,2,1.0015,2026-07-15,1.0021,0.93,3.433
CLF.TO,債券(加拿大政府債梯型1至5年),189,-2.5,1,1.0013,2026-07-15,1.0017,1.34,3.836
XLB.TO,債券(加拿大長天期債券),190,-2.5,2,1.0011,2026-07-15,1.0057,1.14,3.643
ZCM.TO,債券(中天期公司債),191,-2.0,2,1.001,2026-07-15,1.0013,0.44,2.444
ZPS.TO,債券(短天期省政府債),192,-3.0,3,1.0009,2026-07-15,1.0,-0.01,2.993
XSB.TO,債券(加拿大短天期債券),193,-3.0,1,1.0004,2026-07-15,1.0007,0.66,3.659
CBO.TO,債券(加拿大公司債梯型1至5年),194,-1.0,2,1.0003,2026-07-15,1.0011,0.62,1.621
ZCS.TO,債券(短天期公司債),195,-1.0,3,1.0003,2026-07-15,1.0007,0.51,1.512
