symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
ZRR.TO,未分類,16.1,0.1046,1.0,3,1.0013,285,2508,1.000179,0.004944,183
EZM,Small Value,19.4,0.2228,1.5,3,1.0011,115,2511,1.000457,0.006614,184
ZRE.TO,未分類,16.1,0.1769,1.0,3,1.0009,181,2508,1.000166,0.003892,185
XSB.TO,未分類,25.6,0.034,3.0,3,1.0008,15,2508,1.000018,0.001021,186
ZCM.TO,未分類,16.5,0.0876,3.0,2,1.0006,14,2508,0.999964,0.002516,187
ZCS.TO,未分類,16.2,0.0438,2.0,1,1.0006,43,2508,1.000059,0.00127,188
CLF.TO,未分類,18.4,0.0335,3.0,1,1.0004,8,2508,0.999932,0.001175,189
XRE.TO,未分類,23.7,0.1759,1.0,3,1.0004,187,2508,0.999901,0.004057,190
XQB.TO,未分類,16.2,0.0578,1.0,3,1.0003,281,2508,1.000009,0.002389,191
ZPS.TO,未分類,16.2,0.0254,2.0,1,1.0003,34,2508,1.000044,0.001344,192
XBB.TO,未分類,25.6,0.0669,2.0,1,1.0001,71,2508,0.999909,0.002334,193
ZAG.TO,未分類,16.5,0.0711,1.0,2,0.9998,266,2508,0.99998,0.00237,194
