symbol,category,listing_years,annualized_volatility,trigger_zscore,optimal_days,best_rebound_ratio,event_count,total_trading_days,return_mean,return_std,rank
DSI,Large Blend,19.7,0.1389,3.5,2,1.014,8,2511,1.00064,0.006024,61
PBE,Health,21.1,0.1907,3.0,3,1.014,11,2511,1.000364,0.007656,62
THD,Focused Region,18.3,0.2271,3.0,3,1.014,9,2511,1.000144,0.009708,63
SCJ,Japan Stock,18.5,0.1682,3.0,3,1.014,8,2511,1.000166,0.008085,64
XCV.TO,未分類,19.7,0.0916,3.0,3,1.014,11,2508,1.000608,0.006038,65
SDS,Trading--Inverse Equity,20.0,0.2496,2.5,2,1.014,13,2511,0.99932,0.011565,66
FTAG,Natural Resources,16.3,0.143,3.0,3,1.014,13,2511,1.000255,0.009144,67
EPP,Pacific/Asia ex-Japan Stk,24.7,0.1507,2.5,3,1.014,21,2511,1.00012,0.00803,68
DBC,Commodities Broad Basket,20.4,0.1883,3.5,3,1.014,8,2511,1.000551,0.007634,69
IWP,Mid-Cap Growth,24.9,0.1731,3.0,3,1.014,10,2511,1.000529,0.006816,70
IOO,Global Large-Stock Blend,25.6,0.1427,3.0,3,1.013,12,2511,1.000497,0.006222,71
FXO,Financial,19.2,0.1572,2.5,3,1.013,19,2511,1.000499,0.006735,72
GSG,Commodities Broad Basket,20.0,0.2348,3.5,3,1.013,11,2511,1.000613,0.009204,73
RBLD,Miscellaneous Sector,17.7,0.1401,3.0,3,1.013,8,2511,1.000387,0.009027,74
IVOO,Mid-Cap Blend,15.8,0.1584,3.0,3,1.013,8,2511,1.00079,0.006364,75
XLE,Equity Energy,27.6,0.2102,2.0,3,1.013,34,2511,1.000775,0.009748,76
VONE,Large Blend,15.8,0.1261,3.0,3,1.013,12,2511,1.00072,0.005874,77
VOOG,Large Growth,15.8,0.1725,3.0,3,1.013,10,2511,1.000687,0.006757,78
ZUB.TO,未分類,16.1,0.2067,2.0,3,1.013,33,2508,1.000101,0.009093,79
KIE,Financial,20.7,0.168,3.0,3,1.013,13,2511,1.00033,0.005541,80
KBE,Financial,20.7,0.2141,2.5,3,1.013,16,2511,1.000445,0.008592,81
XCH.TO,未分類,16.5,0.1915,2.5,1,1.013,15,2508,1.000398,0.011677,82
SPYM,Large Blend,20.7,0.1253,3.5,2,1.013,8,2511,1.000714,0.005877,83
IMCG,Mid-Cap Growth,22.0,0.1682,3.0,3,1.013,11,2511,1.000824,0.006931,84
MDYG,Mid-Cap Growth,20.7,0.1783,3.0,3,1.013,11,2511,1.000778,0.006641,85
ZCH.TO,未分類,16.5,0.2233,1.5,3,1.013,88,2508,1.000902,0.011389,86
PIO,Natural Resources,19.1,0.152,3.0,3,1.012,8,2511,1.000336,0.006693,87
CNCC.TO,未分類,15.3,0.094,3.5,3,1.012,8,2508,1.0007,0.007079,88
EWM,Focused Region,30.3,0.1427,2.5,3,1.012,15,2511,0.999983,0.006866,89
IMCV,Mid-Cap Value,22.0,0.1171,3.0,3,1.012,10,2511,1.000642,0.006316,90
IMVP,未分類,18.4,0.1639,2.5,3,1.012,13,2511,1.000318,0.008695,91
SCHG,Large Growth,16.5,0.163,3.0,3,1.012,10,2511,1.000657,0.006948,92
ISCG,Small Growth,22.0,0.1859,2.5,2,1.012,18,2511,1.001421,0.008607,93
MDYV,Mid-Cap Value,20.7,0.1515,2.5,3,1.012,15,2511,1.000697,0.006379,94
QQXT,Large Blend,19.2,0.11,3.5,3,1.012,12,2511,1.000282,0.006862,95
FGD,Foreign Large Value,18.6,0.1276,2.5,3,1.012,15,2511,1.000489,0.006797,96
GMF,Pacific/Asia ex-Japan Stk,19.3,0.1827,2.5,3,1.012,17,2511,1.000409,0.00903,97
FTRI,Natural Resources,16.3,0.1832,3.5,2,1.012,8,2511,1.000461,0.009347,98
PDP,Large Growth,19.4,0.2427,3.0,3,1.012,15,2511,1.000636,0.007056,99
IGE,Natural Resources,24.6,0.1651,2.5,3,1.012,17,2511,1.000614,0.007889,100
